,project,fuzzer,run,nodes_reached,nodes_flipped
393,nm-new,FOX+D,002,2251,1166
394,nm-new,FOX+D,008,2091,1088
395,nm-new,FOX+D,005,2262,1158
396,nm-new,FOX+D,009,2238,1121
397,nm-new,FOX+D,007,2046,1052
398,nm-new,FOX+D,001,2267,1232
399,nm-new,FOX+D,000,2188,1088
400,tiff2ps,AFLPP,004,2053,1002
401,tiff2ps,AFLPP,006,2006,976
402,tiff2ps,AFLPP,003,2094,1014
403,tiff2ps,AFLPP,002,2106,1020
404,tiff2ps,AFLPP,008,2045,1002
405,tiff2ps,AFLPP,005,2014,977
406,tiff2ps,AFLPP,009,2038,996
407,tiff2ps,AFLPP,007,2072,1004
408,tiff2ps,AFLPP,001,1994,961
409,tiff2ps,AFLPP,000,2086,1022
410,size,FOX+D,004,1537,870
411,size,FOX+D,006,1499,859
412,size,FOX+D,003,1683,895
413,size,FOX+D,002,1494,803
414,size,FOX+D,008,1628,850
415,size,FOX+D,005,1538,822
416,size,FOX+D,009,1596,818
417,size,FOX+D,007,1537,797
418,size,FOX+D,001,1543,880
419,size,FOX+D,000,1670,905
420,pdftotext,HasteFuzz,004,1179,314
421,pdftotext,HasteFuzz,006,1185,314
422,pdftotext,HasteFuzz,003,1180,306
423,pdftotext,HasteFuzz,002,1183,324
424,pdftotext,HasteFuzz,008,1179,320
425,pdftotext,HasteFuzz,005,1180,306
426,pdftotext,HasteFuzz,009,1185,331
427,pdftotext,HasteFuzz,007,1173,295
428,pdftotext,HasteFuzz,001,1173,292
429,pdftotext,HasteFuzz,000,844,242
430,bsdtar,FOX+D,004,3114,1903
431,bsdtar,FOX+D,006,3139,1887
432,bsdtar,FOX+D,003,2825,1712
433,bsdtar,FOX+D,002,3393,1989
434,bsdtar,FOX+D,008,3013,1819
435,bsdtar,FOX+D,005,3211,1958
436,bsdtar,FOX+D,009,3091,1913
437,bsdtar,FOX+D,007,3072,1815
438,bsdtar,FOX+D,001,2866,1700
439,bsdtar,FOX+D,000,3103,1846
440,xmllint,AFLPP+CD,004,3922,1705
441,xmllint,AFLPP+CD,006,3874,1747
442,xmllint,AFLPP+CD,003,3683,1617
443,xmllint,AFLPP+CD,002,3795,1698
444,xmllint,AFLPP+CD,008,3839,1674
445,xmllint,AFLPP+CD,005,3660,1608
