,hour,project,fuzzer,run,control_size
324,13,libxslt,cmplog_dict,002,14631.0
325,14,libxslt,cmplog_dict,002,14766.0
326,15,libxslt,cmplog_dict,002,14898.0
327,16,libxslt,cmplog_dict,002,15053.0
328,17,libxslt,cmplog_dict,002,15163.0
329,18,libxslt,cmplog_dict,002,15267.0
330,19,libxslt,cmplog_dict,002,15382.0
331,20,libxslt,cmplog_dict,002,15523.0
332,21,libxslt,cmplog_dict,002,15606.0
333,22,libxslt,cmplog_dict,002,15720.0
334,23,libxslt,cmplog_dict,002,15832.0
335,24,libxslt,cmplog_dict,002,15944.0
336,1,libxslt,cmplog_dict,008,9505.0
337,2,libxslt,cmplog_dict,008,10452.0
338,3,libxslt,cmplog_dict,008,11064.0
339,4,libxslt,cmplog_dict,008,11520.0
340,5,libxslt,cmplog_dict,008,11817.0
341,6,libxslt,cmplog_dict,008,12036.0
342,7,libxslt,cmplog_dict,008,12274.0
343,8,libxslt,cmplog_dict,008,12464.0
344,9,libxslt,cmplog_dict,008,12693.0
345,10,libxslt,cmplog_dict,008,12855.0
346,11,libxslt,cmplog_dict,008,12996.0
347,12,libxslt,cmplog_dict,008,13146.0
348,13,libxslt,cmplog_dict,008,13261.0
349,14,libxslt,cmplog_dict,008,13457.0
350,15,libxslt,cmplog_dict,008,13630.0
351,16,libxslt,cmplog_dict,008,13757.0
352,17,libxslt,cmplog_dict,008,13876.0
353,18,libxslt,cmplog_dict,008,13974.0
354,19,libxslt,cmplog_dict,008,14072.0
355,20,libxslt,cmplog_dict,008,14141.0
356,21,libxslt,cmplog_dict,008,14265.0
357,22,libxslt,cmplog_dict,008,14324.0
358,23,libxslt,cmplog_dict,008,14401.0
359,24,libxslt,cmplog_dict,008,14474.0
360,1,libxslt,cmplog_dict,005,9444.0
361,2,libxslt,cmplog_dict,005,10393.0
362,3,libxslt,cmplog_dict,005,10970.0
363,4,libxslt,cmplog_dict,005,11344.0
364,5,libxslt,cmplog_dict,005,11642.0
365,6,libxslt,cmplog_dict,005,11851.0
366,7,libxslt,cmplog_dict,005,12102.0
367,8,libxslt,cmplog_dict,005,12313.0
368,9,libxslt,cmplog_dict,005,12514.0
369,10,libxslt,cmplog_dict,005,12745.0
370,11,libxslt,cmplog_dict,005,12939.0
371,12,libxslt,cmplog_dict,005,13129.0
372,13,libxslt,cmplog_dict,005,13347.0
373,14,libxslt,cmplog_dict,005,13536.0
374,15,libxslt,cmplog_dict,005,13698.0
375,16,libxslt,cmplog_dict,005,13876.0
376,17,libxslt,cmplog_dict,005,14006.0
377,18,libxslt,cmplog_dict,005,14171.0
378,19,libxslt,cmplog_dict,005,14322.0
